repo,doc_touch_total,reactive_count,proactive_count,reactive_rate,proactive_rate,top_patterns,reactive_examples
AdminLTE,18,9,9,0.5,0.5,issue_number(9),update docs (#3511) | Update README.md (#3395) | Fix link to latest release (#3216)
AspNetCore.Docs,3,2,1,0.6667,0.3333,issue_number(2),Update CONTRIBUTING.md (#21498) | Update README.md (#20292)
Chart.js,8,8,0,1.0,0.0,issue_number(8),Added v2 to issue template as not supported and change links in readme to v3 versions (#8693) | Contributing link show 404 error page cause by wrong url (#8774) | Docs/licence year update (#8671)  * Update license year  * Update docusaurus.config.js  update license year  * Update LI
DefinitelyTyped,52,51,1,0.9808,0.0192,"issue_number(51), fix_with_error_term(1), revert(1)",Update README for TS 4.3 and 3.5 (#53461)  4.3 is now released and 3.5 is no longer supported. | Readme update based on previous user-feedback (#53379)  * A polish pass on the readme  * Adds a 2nd polish pass  * Revis | Improve the new blurb (#52867)
FFmpeg,102,2,100,0.0196,0.9804,"issue_number(2), fixes_issue(1)",avformat: add amv muxer  AMV is a hard-coded (and broken) subset of AVI. It's not worth sullying the existing AVI muxer  | avformat: add MCC demuxer  Fixes #7680
FreeRDP,3,0,3,0.0,1.0,,
Ghost,14,2,12,0.1429,0.8571,issue_number(2),Update contributing docs to reference main branch (#12815)  no issue | Updated link to upgrade documentation (#12251)  no issue  - Updated link avoid unnecessary redirect
HanLP,15,0,15,0.0,1.0,,
Marlin,9,7,2,0.7778,0.2222,issue_number(7),Local testing via Makefile & Docker (#19981) | Update issues/support link (#20077)  Co-authored-by: Scott Lahteine <thinkyhead@users.noreply.github.com> | Add ESP32 160MHz to README (#19748)
PHPMailer,36,7,29,0.1944,0.8056,"issue_number(7), references_issue(2), github_issue_url(1)","Revert change that made the `mail()` and sendmail transports set the envelope sender if one isn't explicitly provided, a | Fix links (#2285) | Decode encoded names in the address parser, see #2266"
Python,19,0,19,0.0,1.0,,
Rocket.Chat,154,15,139,0.0974,0.9026,"issue_number(15), fix_with_error_term(3)",Chore: Update Docker container references to use registry.rocket.chat endpoint (#22080) | Doc: Corrected links to documentation of rocket.chat README.md  (#20478) | [IMPROVE] fix some grammatical typos in pull request template (#21115)
TypeScript,16,14,2,0.875,0.125,"issue_number(14), fix_with_error_term(2)",Update handbook link in readme (#43813)  Co-authored-by: Andrew Thongsavath <andrew@athongsavath.com> | Delete issue_template.md (#43320) | Fixed typo error. (#42816)  * Fixed three typo errors  * Reverted  * Reverted  * Fixed typo
